date, spot price, option price, sigma, delta, hedging error, pnl, 
2011-07-05, 532.44, 4, 0.230384, 0.143892, 0, 0
2011-07-06, 535.36, 4.65, 0.236147, 0.159935, -0.230382, -0.65
2011-07-07, 546.6, 6.65, 0.237304, 0.20984, -0.433353, -2.65
2011-07-08, 531.99, 4.5, 0.247367, 0.153309, -1.34985, -0.5
2011-07-11, 527.28, 4.25, 0.258061, 0.143768, -1.82247, -0.25
2011-07-12, 534.01, 5.9, 0.270453, 0.180245, -2.50543, -1.9
2011-07-13, 538.26, 6.85, 0.275551, 0.200377, -2.68998, -2.85
2011-07-14, 528.94, 5.35, 0.281801, 0.165368, -3.0581, -1.35
2011-07-15, 597.62, 21.95, 0.225866, 0.50395, -8.30111, -17.95
2011-07-18, 594.94, 21.2, 0.234121, 0.486666, -8.90341, -17.2
2011-07-19, 602.55, 22.95, 0.215189, 0.538011, -6.95175, -18.95
2011-07-20, 595.35, 18.95, 0.214362, 0.484075, -6.82775, -14.95
2011-07-21, 606.99, 24.25, 0.208201, 0.57248, -6.49531, -20.25
2011-07-22, 618.23, 31.45, 0.213974, 0.653104, -7.26325, -27.45
2011-07-25, 618.98, 32.75, 0.225569, 0.653582, -8.07644, -28.75
2011-07-26, 622.52, 34.7, 0.223799, 0.67947, -7.71592, -30.7
2011-07-27, 607.22, 26.3, 0.239676, 0.570818, -9.71512, -22.3
2011-07-28, 610.94, 28.1, 0.238828, 0.597381, -9.39443, -24.1
2011-07-29, 603.69, 25.85, 0.263173, 0.545478, -11.4782, -21.85
